at,endBlock,pair,baseSymbol,quoteSymbol,priceBaseInQuote,riskScore,riskStatus,syncBlock,syncAgeBlocks,hbSwaps,hbMints,hbBurns,flowStatus,flowNetQuote,flowNetAbsQuote,flowGrossQuote,flowNetPct,flowGrossPct,l1Status,l1Mints15Quote,l1Burns15Quote,l1NetLiq15Quote,l1Churn15Quote,l1BurnSharePct,m1Status,m1BouncePairs,m1ClassicCandidates,m1ReversalPairs,m1Blocks3PlusSwaps,m1AdaptiveScore,volStatus,volShort,volLong,depthStatus,depthImpactPct_5000,depthImpactPct_25000,depthImpactPct_100000,depthMaxInFor1Pct
2026-02-24 08:36:33,24470000,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,,15,OK,,,0,0,0,n/a,0,0,0,,,OK,0,0,0,0,,OK,0,0,0,0,15,OK,,,n/a,,,,
2026-02-24 08:36:33,24470050,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1967.5503955290003,49,ELEVATED,24470049,1,5,1,1,ELEVATED,10044304458,10044304458,10134726320,0.11178128015824478,0.11278756899894214,ELEVATED,9619116948230,9619116948229,-1,19238233896459,51.702357599970185,OK,1,0,1,0,15,OK,,,ELEVATED,0.35654681998181414,0.5791232674116241,1.4137849452733537,62816
2026-02-24 08:36:33,24470100,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1975.7668973992088,61,HIGH,24470089,11,4,0,0,HIGH,28396691526,28396691526,28476251518,0.31536295455133884,0.31624651783962643,ELEVATED,9619116948230,9619116948229,-1,19238233896459,51.65024665231856,OK,1,0,0,0,15,OK,,,ELEVATED,0.35643082383154323,0.5785432866602636,1.4114650222678866,62945
2026-02-24 08:36:35,24470150,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1976.6331125324975,33,ELEVATED,24470150,0,4,0,0,ELEVATED,20748637982,20748637982,21795667048,0.23037594278823023,0.24200129903646622,OK,0,0,0,0,0,OK,1,0,0,0,15,OK,,,ELEVATED,0.35641862752786935,0.5784823051418784,1.4112210961944036,62960
2026-02-24 08:36:38,24470200,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1978.5341727579862,27,ELEVATED,24470197,3,4,0,0,OK,6772679552,6772679552,6906984154,0.07516211656309853,0.07665260759740468,OK,0,0,0,0,0,ELEVATED,5,0,0,0,55,OK,,,ELEVATED,0.3563919099875506,0.5783487174402231,1.4106867453877683,62993
2026-02-24 08:36:38,24470250,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1972.1483398298828,55,HIGH,24470249,1,8,0,0,ELEVATED,-11371716447,11371716447,17724789575,0.1264053418805768,0.19702461773747731,OK,0,0,0,0,0,HIGH,15,0,0,1,85,OK,0.00303158281253068,,ELEVATED,0.356481539371944,0.5787968643621663,1.4124793330755256,62888
2026-02-24 08:36:40,24470300,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1948.3618396758661,57,HIGH,24470299,1,14,0,0,HIGH,-58271778924,58271778924,58291504192,0.651671467062285,0.6518920608827091,OK,0,0,0,0,0,ELEVATED,6,0,1,0,55,OK,0.006056402798929727,,ELEVATED,0.35681926662794644,0.5804855006422722,1.419233878195941,62511
2026-02-24 08:36:40,24470350,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1943.6851125748594,67,HIGH,24470338,12,2,0,0,HIGH,-61060139382,61060139382,63917392800,0.6836740290283654,0.7156659303900413,OK,0,0,0,0,0,HIGH,10,0,2,1,85,OK,0.005590464518179388,,ELEVATED,0.35688636914677463,0.5808210132363424,1.4205759285722006,62435
2026-02-24 08:36:41,24470400,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1952.904365280318,45,ELEVATED,24470400,0,9,0,0,ELEVATED,22419989059,22419989059,27698133351,0.2504362687918289,0.3093943155221303,OK,0,0,0,0,0,ELEVATED,7,0,1,2,55,OK,0.006912882079722417,,ELEVATED,0.3567538211942428,0.5801582734736637,1.4179249695215064,62583
2026-02-24 08:36:41,24470450,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1955.4597759483647,33,ELEVATED,24470450,0,5,0,0,ELEVATED,19660718400,19660718400,24909258204,0.2194708417525519,0.2780598223442099,OK,0,0,0,0,0,OK,5,0,0,1,0,OK,0.007281700230925123,,ELEVATED,0.35671726110442,0.5799754730246528,1.4171937677254969,62626
2026-02-24 08:36:42,24470500,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1969.4715943060553,45,ELEVATED,24470500,0,5,0,0,HIGH,37442888740,37442888740,38038103440,0.4164798600756707,0.42310047465197503,OK,0,0,0,0,0,OK,4,0,0,2,0,OK,0.004156251329403494,,ELEVATED,0.3565180564709733,0.5789794498574059,1.4132096750565193,62850
2026-02-24 08:36:42,24470550,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1969.2581266983723,15,OK,24470533,17,1,0,0,OK,-678836221,678836221,889451673,0.007551151204584591,0.009893968330239896,OK,0,0,0,0,0,OK,7,0,0,0,0,OK,0.0032852217854154432,,ELEVATED,0.35652106621272206,0.5789944985661366,1.4132698698914496,62845
2026-02-24 08:36:43,24470600,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1969.2697005602524,15,OK,24470593,7,2,0,0,OK,21870502,21870502,33045736,0.00024327956629758725,0.0003675888336748999,OK,0,0,0,0,0,OK,1,0,0,0,0,OK,0.003429788439818463,,ELEVATED,0.3565209025073097,0.5789936800389609,1.413266595782696,62845
2026-02-24 08:36:43,24470650,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1967.4013763172347,15,OK,24470644,6,12,0,0,OK,-4235364483,4235364483,4369196613,0.04713499548647515,0.04862440138502656,OK,0,0,0,0,0,OK,5,0,0,2,0,OK,0.0037693849815600843,,ELEVATED,0.3565472644260558,0.5791254896327342,1.4137938341577292,62816
2026-02-24 08:36:44,24470700,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1968.8791992078789,15,OK,24470697,3,2,0,0,OK,449842403,449842403,6392862183,0.0050043752732510955,0.07111886567506892,OK,0,1957094,1957094,1957094,0.000021772137582720896,OK,3,0,0,2,0,OK,0.0006961633185333138,,ELEVATED,0.3565263580946388,0.5790209579757031,1.4133757075296998,62840
2026-02-24 08:36:45,24470750,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1969.5298751348603,15,OK,24470741,9,2,0,0,OK,4837823146,4837823146,5599762792,0.05381056510000478,0.062285534458332285,OK,0,0,0,0,0,OK,0,0,0,0,0,OK,0.0007232397638566019,,ELEVATED,0.35651714821038955,0.5789749085545125,1.413191509844959,62850
2026-02-24 08:36:45,24470800,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1970.2488444739663,15,OK,24470792,8,1,0,0,OK,3258930575,3258930575,3806670291,0.03624209524771318,0.04233342935299014,OK,0,0,0,0,0,OK,0,0,0,0,0,OK,0.0007405828053994358,,ELEVATED,0.3565069844562076,0.5789240897835548,1.412988234761078,62860
2026-02-24 08:36:49,24470850,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1969.8175208897665,31,ELEVATED,24470842,8,3,0,0,OK,-321113531,321113531,1644575705,0.003571447464128573,0.018291087619069252,ELEVATED,8577336935993,8577336935992,-1,17154673871985,48.82233794194368,OK,0,0,0,0,0,OK,0.00039897728584243654,,ELEVATED,0.3565130627084114,0.5789544810445754,1.4131097998051643,62855
2026-02-24 08:36:50,24470900,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1977.4310692444024,33,ELEVATED,24470893,7,4,0,0,ELEVATED,17318420889,17318420889,17451904273,0.19224498229787357,0.19372672887041698,OK,0,0,0,0,0,OK,1,0,0,0,0,OK,0.0018686602626150739,,ELEVATED,0.35640574258982793,0.5784178804516278,1.410963397433423,62974
2026-02-24 08:36:50,24470950,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1980.8684816465563,33,ELEVATED,24470944,6,6,0,0,ELEVATED,25223121209,25223121209,25248118587,0.27974854566590235,0.2800257905034074,OK,0,0,0,0,0,OK,1,0,0,0,0,OK,0.0018111513636367264,,ELEVATED,0.35635749172310716,0.5781766261180092,1.409998380098892,63031
2026-02-24 08:36:50,24471000,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1980.915301869018,15,OK,24470991,9,3,0,0,OK,6392812616,6392812616,6448817992,0.07090156849865997,0.07152271434498415,OK,0,0,0,0,0,OK,2,0,0,0,0,OK,0.0018849199478064894,,ELEVATED,0.35635683509285987,0.5781733429667286,1.4099852474937795,63031
2026-02-24 08:36:50,24471050,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1980.9509311170868,15,OK,24471039,11,1,0,0,OK,188369850,188369850,485178400,0.0020891582069228814,0.005380980216216727,OK,0,0,0,0,0,OK,2,0,0,0,0,OK,0.0018218595372440265,,ELEVATED,0.3563563331849321,0.5781708334271771,1.4099752093356164,63031
2026-02-24 08:36:51,24471100,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1980.9515209968736,15,OK,24471086,14,2,0,0,OK,-129839115,129839115,132528059,0.0014400097055587682,0.0014698320395888794,OK,0,0,0,0,0,OK,0,0,0,0,0,OK,0.0008614772815644088,,ELEVATED,0.3563563249161543,0.578170792083281,1.409975043959963,63031
2026-02-24 08:37:06,24471150,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1981.0237460615606,15,OK,24471144,6,5,0,0,OK,165503896,165503896,176412758,0.0018355244105508753,0.001956509372091181,OK,0,0,0,0,0,OK,3,0,0,0,0,OK,0.000015007765475209297,,ELEVATED,0.3563553124108179,0.5781657295566385,1.4099547938534511,63031
2026-02-24 08:37:06,24471200,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1980.9844190443443,20,OK,24471168,32,0,0,0,OK,75267229,75267229,264906575,0.0008347610464708126,0.0029379810138087962,OK,0,0,0,0,0,OK,3,0,0,0,0,OK,0.000024101285067598564,,ELEVATED,0.35635586201096336,0.5781684775573167,1.4099657858561274,63031
