at,endBlock,pair,baseSymbol,quoteSymbol,priceBaseInQuote,riskScore,riskStatus,syncBlock,syncAgeBlocks,hbSwaps,hbMints,hbBurns,flowStatus,flowNetQuote,flowNetAbsQuote,flowGrossQuote,flowNetPct,flowGrossPct,l1Status,l1Burns15Quote,l1BurnSharePct,m1Status,m1BouncePairs,m1ClassicCandidates,m1ReversalPairs,m1Blocks3PlusSwaps,volStatus,volShort,volLong
2026-02-18 12:10:09,24483628,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1982.9974644395472,5,OK,24483623,5,1,0,0,OK,14801562,14801562,14801562,0.0001640456497118702,0.0001640456497118702,OK,0,0,OK,0,0,0,0,OK,,
2026-02-18 12:11:12,24483633,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1982.9974644395472,5,OK,24483623,10,1,0,0,OK,14801562,14801562,14801562,0.0001640456497118702,0.0001640456497118702,OK,0,0,OK,0,0,0,0,OK,,
2026-02-18 12:12:13,24483639,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1983.0000685236982,5,OK,24483637,2,4,0,0,OK,20734878,20734878,20734878,0.00022980441499622134,0.00022980441499622134,OK,0,0,OK,0,0,0,0,OK,,
2026-02-18 12:13:13,24483644,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1983.0000685236982,5,OK,24483637,7,4,0,0,OK,20734878,20734878,20734878,0.00022980441499622134,0.00022980441499622134,OK,0,0,OK,0,0,0,0,OK,,
2026-02-18 12:14:14,24483649,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1983.0000685236982,5,OK,24483637,12,3,0,0,OK,20734878,20734878,20734878,0.00022980441499622134,0.00022980441499622134,OK,0,0,OK,0,0,0,0,OK,6.566025645140704e-7,
2026-02-18 12:15:15,24483654,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1982.9999814914343,5,OK,24483652,2,4,0,0,OK,20537173,20537173,20932583,0.0002276132577367381,0.00023199558232648,OK,0,0,OK,0,0,0,0,OK,6.642397241291333e-7,
2026-02-18 12:16:15,24483659,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1982.999807426918,5,OK,24483659,0,6,0,0,OK,18823986,18823986,20010216,0.000208626034596648,0.00022177300894201684,OK,0,0,OK,0,0,0,0,OK,4.202069976152555e-8,
2026-02-18 12:17:16,24483664,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1982.9997203946655,5,OK,24483661,3,4,0,0,OK,18277702,18277702,19859342,0.00020257157933249243,0.00022010087884374627,OK,0,0,OK,0,0,0,0,OK,3.5835373156887296e-8,
2026-02-18 12:18:17,24483669,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1983.0013455720414,5,OK,24483669,0,5,0,0,OK,16816268,16816268,18397908,0.00018637444517018902,0.00020390373748754376,OK,0,0,OK,2,0,0,0,OK,4.3952402826987895e-7,
2026-02-18 12:19:17,24483674,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,WETH,USDC,1983.0013455720414,5,OK,24483669,5,5,0,0,OK,16816268,16816268,18397908,0.00018637444517018902,0.00020390373748754376,OK,0,0,OK,2,0,0,0,OK,4.3320665374183175e-7,
